line,label
by Aeneas. 15.392.,0
"Things are bad, but that would be the best.""",1
These are indeed strange words for Achilles. but in the context of the,1
"You could hear some Trojan or Achaean pleading, ""Father Zeusl",1
"fellow Trojans coming to turn him back,",1
"hunting Deiphobus and the rugged warlord Helenus,",1
at our people that I keep to my rooms so long.,1
"Think how a lion, mauling the soft weak young",1
Stop. Please.,1
65,0
"through a woody glen keep closing for the kill,",1
"His heart's so game, his fighting edge so keen,",1
23).,0
[3/4-43/,0
333,1
"contains, for example, ""Prism's palace. that magnificent structure / built",1
Where's Andromache gone? To my sisters' house?,1
I'd beat off any man who'd do you harm:,1
"""Look-a genuine miracle right before my eyes!",1
and gave them both their winged marching orders:,1
"There,",1
"if you ever listened to me in the old days,",1
30,0
the North Wind and the West Wind blasting out of Thrace,1
"cording to the length of the Latin (or Greek) syllable, and the reader",1
"a commanding lookout point, and hearing a driver",1
and firmly spoke the words the king had come to hear:,1
"to smash the rampart, flinging into it all the rivers' fury.",1
ripped him under the helmet's hammered bronze rim-,1
"""Antilochus-no one alive more treacherous than you!",1
fleeing his fatal day-,1
510,1
law; the other is besieged by a hostile army and fights for its existence.,1
320,1
"bound for Windy Troy: he'd stay right where he was,",1
"your famous allies too, any soldier the god",1
"But if you are serious, speaking from the heart,",1
"the blood and rout of war as Atrides followed hard,",1
"men of Argas? Why did he muster an army, lead us here,",1
these are your summons: pain and death to the man,1
and the sun went down at last and brave Achaeans ceased,1
/229-58},0
"spurring companions. urging them to fight,",1
"and wed a bastard daughter of Priarn. Medesicaste,",1
"on the alert, all stationed set with weapons.",1
"with his brother Teucer, his own father's son,",1
"It is the same rage now as then, implacable, unappeasable, like the rage",1
Achilles rushed with his spear at noble Polydorus,1
500,0
(Ionic) ran into the dilemma that Aeolic and Ionic forms sometimes,1
"excavations at Troy and Mycenae, and those of Sir Arthur Evans at",1
The Greek diphthongs oi and ai are represented by the Latin diphthongs,1
or a woman never trained in works of war!,1
"ALCANDER ial-kan'-der): Trojan ally, Lycian killed by Odysseus, 5.778.",0
"they'll never let him tear the rich fat from the oxen,",1
Save me at least. Take me back to my black ship.,1
bore Amphimachus back to Achaea's waiting lines.,1
Thick-and-fast as the snows that fall on a winter dawn,1
"striding past and begged him in his pain,",1
BOOK 21-,0
"not for all its reach and tide race, not with Athena",1
impetuous Melanippus sweeping into battle;,1
did Zeus stand by him? Not even his own son!,1
"his dearest friend-in-arms on earth lies dead.""",1
"townsmen called him Astyanax. Lord of the City,",1
"And King Agamemnon took his lead, saluting:",1
"promised the man his daughter, so on he fought,",1
"drove them to fight with such a fury? I Apollo the son of Zeus and Leto""",1
"there's one, I trust, who will never yield to him!",1
once you have met your doom? Nothing but torment!,1
So he urged,1
"IPHINOUS (eye·ji'·no-us): Achaean. son of Dexius. killed by Glaucus, 7.16.",0
"tireless one, Athena-what, is this the way?",1
"all that good Odysseus promised you in full,",1
quick and the dead.,1
"He waits by the ships, a man never sated with battle . . .",1
the father of men and gods filled with pity now,1
and the team flew on in a blurring burst of speed.,1
"ramping across their path, suddenly charging them,",1
"and in his day Glaucus sired brave Bellerophon,",1
"thundering loud as nine, ten thousand combat soldiers",1
in the Indo-European family of languages had progressed along gen-,1
28,0
"god help us, they have beaten us already-",1
"vising bard different ways of fitting the name of his god, hero or object",1
"CROESMUS (kreez'-mus): Trojan killed by Meges, 15.605.",0
"But Glaucus,",1
\f',1
that you were the better man than fighting Menelaus,1
in some great clash of arms that even men to come,1
"dreading the scorn, the curses hurled at me ...""",1
and the sight of the old horseman coming toward them,1
"under his smooth feet he fastened supple sandals,",1
and the spreading gates made way for a ray of hope,1
"Don't dismiss their appeal, their expedition here-",1
you must have something better than this to say.,1
"hard to believe in a scribe of the period who could take dictation at or,",1
first to last-though many people know it-,1
"holding their voices in their chests, all silence,",1
"of Hicetaon. killed by Antilochus, 15.635. (3) Trojan killed by Patroclus. 16.813.",0
"Laomedon's grandson, Lampus' big and brawny son,",1
"And hard as it was to recognize each man, each body,",1
dashing grimly-slipping out from under the wave he fled,1
"Now repay me for all the loving care Andromache,",1
The Shield of Achilles,0
"but never destined to slip past the deadly spirits,",1
"And don't go flying olf on your own across the halls,",1
ROYAL,0
[327-56/,0
"that 1 set forth-let Zeus look down, my witnessI",1
490,1
all the bastions' strong supports of logs and stones . . .,1
"and the long dark hide of his bossed shield, the rim",1
read as its truest interpreter.,1
"Holding formation now the Trojans rolled across it,",1
"They both refuse to move, saddled down with grief.",1
"No,",1
"and for Lynne, Katya and Nina-",0
TYPHOEUS tti-fee'-us): monster imprisoned beneath the earth by Zeus in the land,0
"HECTOR (hek'-tor): Trojan. son of Priam and Hecuba, supreme commander of",0
It's sacrilege for a single drop to touch my head,1
"Phalces, Orthaeusand veteran Polyphetes.",1
"of the Achaean heroes of the Iliad did (Patrodus. for example, 23.103-8. and",0
"an oral ""monumental composer,"" whose version imposed itselfon bards",1
this hanging back. Each of you get a grip on yourseIf-,1
"Ab but now,",1
DOG STAR: 11.70. see ORlON'S DOG and note 22.35.,0
THE CHAMPION ARMS FOR BATTLE,1
"PISENOR tpeye-see'·nor): father of the Trojan Clitus, 15.519.",0
But it's not the flowing feast,1
"'Not without fame. the men who rule in Lycia,",1
"Once they reached the ford where the river runs clear,",1
"but all on his own he raised it high with ease,",1
The roofs of some great houses have extended welcome shelter to,0
slaughtering Trojans outright. drive your troops to Troy-,1
"not one of all these Trojans could flee his death, not one,",1
as they deal out to the men who break sworn oaths,1
And Thetis did not forget her son's appeals.,1
200,0
"But Ajax did stab home at the shield's jutting bulge,",1
who dangled before his eyes the lust that loosed disaster.,1
not till it bores clean through some fighter's flesh.,1
not of a work of language either-will ever be the same. The timbre,0
as Helen in all her radiance climbed the steps,1
he dashed back by the ships toward Achilles.,1
no more trading speeches now. No more delay.,1
each captain shouted out commands to his driver:,1
and hauled it off in the ships with all his other wealth.,1
he was the one who urged me to lead our Trojans,1
"Hera plotted against you, Hera up in arms",1
THE ILIAD,1
"straight through the gleaming hide the heavy weapon drove,",1
"of the Peloponnese in the Aegean, the kingdom of Idorneneus, 2.744.",0
"suppliant that you are-may break the laws of Zeus!""",1
"They'd raised his sleeping chamber, house and court",1
"may pity an old man. He has a father too,",1
But first he called his ranking chiefs to council,1
somewhat obscure. We have understood the lines to mean that the first ships,0
/819-47/,0
He rose up tall and challenged all the Achaeans:,1
"ORlON'S DOG: the star Sinus, 22.35. See note ad loco",0
"elegant brooches, whorled pins, necklaces, chokers, chains-",1
Cut and run! Sail home to the fatherland we love!,1
trusting his strength. standing up to a rout of men,1
HOMER:,1
"SCARPHE tskar'-feev: city in Locris, 2.622.",0
"And how they thrilled to see him still alive,",1
BOOK /8:,0
THE ILIAD,1
Athena's heart leapt high. she charged at Aphrodite.,1
221,1
"So you above all must speak your mind, and listen,",1
200,0
PRONOUNCING GLOSSARY,0
These two can never attain the same degree of honor.,1
"and each leapt to his feet to plead the case in turn,",1
"so Gorgythion's head fell limp over one shoulder,",1
"""And so do l, by god!""-the cool Meriones blazed up",1
Lycia's captain Glaucus son of Hippolochus skewered,1
"Greek), all of them fittingly nautical for a seafaring people.",0
"eRAROPS (ka'-raps): Trojan, son of Hippasus (1), brother of secus. killed by",0
100,0
"no more bragging on this way like boys,",1
520,1
Zeus the Father whipped his team and hurtling chariot,1
"lost on the crags, on the lonely mountain slopes,",1
POLYPOETES (po·/j-pee'-teez): Achaean. son of Pirithous. eo-commander of the,0
THE ILIAD,1
"Give ground, but faces frontlng the Trojans always-",1
"must change at once and wrench his will to ours,",1
"swore a binding oath: ""Now Zeus my witness,",1
"than to have you strutting here, an outrage-",1
from the corpse's limp neck and with one good heave,1
nor does any other immortal housed on Olympus,1
left the sea for the first time and swept over dry land,1
where theirfresh clear tides had run since time began.,1
while I go into the halls of storming Zeus,1
"Hector's holding council with all his chiefs,",1
The memories swept over him ...,1
The old man's taunts brought nine men to their feet.,1
U AntiJochus-you drive like a maniac! Hold your horses!,1
(692-722],1
"so you can see what cut of man I am. Look,",1
THE CHAMPION ARMS FOR BATTLE,1
as Ajax ranged them all and shouted out commands:,1
for men by the squad had dropped across his corpse,1
"fought him offthe corpse. But Hector held firm,",1
no,1
"fetching water at some spring, Messeis or Hyperia,",1
/402-331,1
"pierced by spears, brought down by Trojan hands",1
590,1
"Agenor stabbed with a bronze spear and loosed his limbs,",1
MARAUDING THROUGH THE NIGHT,1
but the Cretan took him first.,1
"a Carian or Maeonian staining a horse's cheekpiece,",0
640,1
"and down from Ida's peaks she dove to sacred Troy,",1
{196-125/,0
"Agamemnon especially. But as we have seen, Odysseus' speech to",0
"there, struck into stone, Niobe still broods",1
Patroclus Fights and Dies,0
"that she can find throughout the royal halls,",1
"Teucer, 15.519.",0
Quickly. you and Meriones shoulder up the body.,1
