line,label
The communist political plan called for a working-class revolution. How,1
can hardly build a global community when you make your money from,1
culture. But how far should assimilation go? If immigrants move from a,1
not even Hitler managed to make people forget all the alternative stories.,1
We are hardly even aware of the myriad ways in which we disrupt the,1
Abuse: Brother-Sister Incest Does Not Differ from Father-Daughter and,0
them. It’s a bit like engineers excavating a tunnel through a huge mountain.,1
"alter it, while another person celebrates the same sexual desires without a",1
political package. The Islamic State has recently stood out in its complete,1
"down ‘the story of the eloquent peasant’, which tells of a poor peasant",1
"Wirathu, Ashin 306",0
If we manage to combine a universal economic safety net with strong,1
11 January 2018.,0
faith in Jesus Christ with a firm objection to government welfare policies,1
"23 G. E. Harvey, History of Burma: From the Earliest Times to 10 March",0
"that we hear lots of people praise some movie as a masterpiece, feel",1
but it can still bring joy to billions and can still encourage humans to be,1
"‘an individual possessing inalienable natural rights’, you will not know who",1
identity. Not all nationalists are fascists. Most nationalists have great faith,1
beyond the nationalist viewpoint and look at things from a global or even a,1
In the fifth and final part I gather together the different threads and take a,1
priests and Zen meditation masters preached selfless obedience to state,1
combat terrorism effectively we must realise that nothing the terrorists do,1
‘But I like the inconveniences.’,1
"city, they were unlikely to change their gender or to add a sixth sense. And",1
Warmlander firms to hire more Coldian managers through ‘affirmative,1
"Friedman, Milton 130",0
The new model is based on transferring authority from humans to,1
"cannot agree on a common destiny, and if 500 million affluent Europeans",1
"Lifelong Learning’, Guardian, 31 May 2016.",0
buried in the Cathedral in the year 1255. Such stories do not redound,1
Perhaps the best example for the continuing power and importance of,1
might,1
"our god, what makes the insult unbearable is the burning sensations in the",1
"for Israel, and Orthodox priests urge Russians to think first and foremost",1
"believe that if I gave my life to the nation, I would live for ever in the",1
or a bomb – almost all of us belong to the same civilisation. There are,1
"countering terrorism’ in M. Tonry (ed.), Crime and Justice: A Review of",0
"beautiful thing in the world. And if Israelis look in the fascist mirror, they",1
"somebody who knows how to justify why the rain dance failed, and why we",1
"Inequality goes back to the Stone Age. Thirty thousand years ago, hunter-",1
In previous centuries national identities were forged because humans,1
"inside us, and will enable us to engineer and manufacture life. We will learn",1
255;,0
"Feelings guide not just the voters, but also the leaders. In the 2016 Brexit",1
"communism xii, 3, 5, 10, 11, 14, 33, 35, 38, 74, 87, 95, 131, 132, 134, 176–",0
"by appealing to his feelings, explaining that ‘In every step in my political",1
political power before it is too late. Brexit and the rise of Trump might thus,1
"of Islam, but in truth, their take on Islam is brand new. Yes, they quote",1
some nebulous global community.,1
"about it. The algorithms will take care of everything. If, however, you want",1
"so how can there be a Palestinian people? (In Arabic, ‘f’ stands for ‘p’, and",1
"Facebook AI can not only identify ‘meaningful communities’, but also",1
asking the Facebook algorithm whether she should stay married to Karenin,1
"Great Barrier Reef, Australian 116",0
"like lighting candles, ringing bells or counting beads a deep religious",1
"authorities each year, with probably tens of thousands of additional cases",1
revolution thanks to bioengineering and direct brain–computer interfaces.,1
"Hirohito, Emperor of Japan 235",0
change and technological disruption. If despite these common threats,1
mind through a microscope or a brain scanner. These devices enable us to,1
computers and 3-D printers. But the time to make such a transition is,1
"conflict with scientific research. Rather, it has been another valuable tool in",1
Today the main economic assets consist of technical and institutional,1
Chinese Communist Party is on the wrong side of history.,1
"algorithms see artificial intelligence (AI) Ali, Husayn ibn 288",0
"had killer robots in the Vietnam War, the My Lai massacre might have been",1
extends rather than an obligation it fulfils. Which means that immigrants,1
eventually triumph by finding their authentic self and following their free,1
have so far developed for dealing with the challenges of the modern world.,1
"defence of their positions, the real source of their difference will be in",1
"annoyance, perhaps lowering its serendipity level to 3 per cent or raising it",1
and a credit card. A crucial step towards uniting humankind is to appreciate,1
"were a glove upon that hand, That I might touch that cheek!’ By connecting",1
12. Humility,0
"commitments or social responsibilities. In fact, the main problem with",1
"Child’, Guardian, 5 June 2017.",0
feelings too are not part of a great cosmic tale. They are ephemeral,1
well-nigh impossible.,1
"But to you, he or she seems infinite, and you are happy to lose yourself in",1
Soviet Union to the other. Just as no Russian Orthodox church was,1
"Memorial Sloan Kettering’s Regional Network’, Journal of Clinical",0
"her, and decides not to hire her. If we allow a computer to evaluate job",1
