line,label,,
"So at his command Autornedon yoked the horses, the rapid stallions Roan Beauty and Dapple, the team that raced the gales, magnificent team the storm-wind filly Lightfoot foaled for the West Wind, grazing the lush green grass along the Ocean's tides.",1,,
210,0,,
CONTENTS,0,,
780,0,,
Menelaus the famous spearman stabbed him right where he stood.,1,,
247,0,,
storming at heart,1,,
Agamemnon's excuses or in the gifts: clearly he feels that this is all a,1,,
"Down and conduct King Priam there through Achaea's beaked ships, so none will see him, none of the Argive fighters recognize him now, not till he reaches Peleus' royal son."" So he decreed and Bermes the giant-killing guide obeyed at once.",1,,
Zeus saved you then and other gods joined in.,1,,
390,0,,
"Wait- don't fling yourself in the grind of battle yet, not till you see me coming back with your own eyes.",1,,
"dear child, as you say.",1,,
"Not I-I would not get too close to the son of Cronus, much less put him under.",1,,
"While all the rest of us, every god on Olympus bows down to you, each of us overpowered.",1,,
Labels within parentheses,0,,
Poseidon reminds Apollo of this in .,1,,
when Achillesdestroys Hector in revenge he must destroy,1,,
Heading straight for the city's lofty ramparts.,1,,
"You-forever faithless!"" But Zeus who marshals the storm clouds warned his queen, ""Now, Hera.",1,,
"faster brother with orders flying, ""Ajax, you stay here, you and the burly Licomedes stand your ground, keep our Danaans.fighting here with all they've got.",1,,
2.675.,0,,
"out for his favorite plunge in a river's cool currents, thundering in his pride-his head flung back, his mane .",1,,
HARMA (har'·ma): city in Boeotia.,0,,
"And any finer trophy you'd ask from my own stores, I'd volunteer at once, gladly, Atrides.",1,,
Now he has come to hate the generation of Priam.,1,,
"Think of it: Paris and Menelaus loved by Ares go to fight it out with their rugged spears- all for you-and the man who wins that duel, you'll be called his wife!"" And with those words the goddess filled her heart with yearning warm and deep for her husband long ago.",1,,
THE ILIAD,0,,
THE ILIAD,0,,
"But let him catch us lingering here tomorrow, just as he rises up in arms-there may be some who will sense his fighting spirit all too well.",1,,
"And now in a breakneck charge Peneleos closed with Lycon- they'd missed each other with spears, two wasted casts, so now both clashed with swords.",1,,
"Never bury my bones apart from yours, Achilles, let them lie together ...",1,,
Digging a heel in his chest Menelaus stripped his gear and vaunted out in glory.,1,,
whining here before me.,1,,
"not available in quantity, there were other materials, such as animal",1,,
THE ILIAD,0,,
plural, they are dual.,1,
"There on the spot his strength and life collapsed and blinding grief for the driver overpowered Hector, stunned for his friend but he left him lying there and cried out to his brother Cebriones close by, ""Take the reins!"" Cebriones rushed to obey- but Hector leapt down from the burnished car, he hit the earth with a yell, seized a rock and went for Teucer.",1,,
POSEIDON (po·seye'.don): god of the sea.,0,,
BOOK,0,,
"She stood on Odysseus' huge black-bellied hull, moored mid-line so a shout could reach both wings, upshore to Telamonian Ajax' camp or down to Achilles'- trusting so to their arms' power and battle-strength they'd hauled their trim ships up on either flank.",1,,
"in the same line, that a Mycenaean boar-tusk helmet can turn up in a",1,,
They stood in a row.,1,,
1222-Sl},0,,
" If another comrade would escon me, though, there'd be more comfort in it, confidence too.",1,,
"I never dreamed these heroic Argive ranks could hold back our charge, our invincible arms.",1,,
HOMER:,0,,
"APHARSUS ta-far'-yoos): son of Caletor, Achaean killed by Aeneas, 9.97.",0,,
"if that glory had not been taken away from him by Agarnemnon, and",1,,
"Euneus son of Jason gave it to Prince Patroclus, the ransom paid to release Lycaon, Priam's son.",1,,
"to save their ranks from ignominious, stark defeat.",1,,
Anita Karl and lames Kemp have drawn up the fine,1,,
400,0,,
See note 18.581-92.,0,,
Tradition andDesign in theIliad.,0,,
in fact.,1,,
They streamed out at the gates to meet Priam bringing in the body of the dead.,1,,
170,0,,
"But not for long would his comrades give him up: in a swift maneuver Ajax wheeled them round, Ajax.",1,,
"So handing his gear to a loyal aide Laodocus, who maneuvered his pawing horses close by, he set oft'at a run.",1,,
LAOTHOE (/ay-o'-thoh-ee): daughter of Altes.,0,,
"That day the Olympians tried to chain him down, Hera, Poseidon lord of the sea, and Pallas Athena- you rushed to Zeus.",1,,
510,0,,
Her eyes afire the goddess Pallas did not resist a moment.,1,,
"Not if you ventured down as far as the black abyss ltself- I care nothing for you, you and your snarling anger, none in the world a meaner bitch than you."" So he erupted but the white-armed goddess Hera answered not a word .",1,,
Father ...,1,,
"the most severe of the Alexandrian editors, expunged them, because he was shocked by them (ifthat iswhat Plutarch's word phob2thtis means in this context).",1,,
Show respect for your own house.,1,,
Nestor the noble old horseman spoke out first: ..Marshal Atrides.,1,,
"Here are your deadly enemies, camping dose at hand.",1,,
in the kingdom of Ma· chaon and Podalirius.,0,,
less unworldly than Homer's gods.,1,,
154J-75} blazing to seize his glory.,1,,
"And at one glance the lust came swirling over him, making his heart race, fast as the first time-all unknown to their parents- they rolled in bed, they locked and surged in love.",1,,
380,0,,
"summoned in the dedication, chief among them Lynne.",1,,
What an indignity for us to clash in arms.,1,,
1000,0,,
"not even Athena watching the battle here could scorn its fury, not even in their most savage lust for combat, no- so tense the work of war for the men and chariot-teams that Zeus stretched taut across Patroclus this one day ...",1,,
to say.,1,,
"And die they do, all those who cannot get back inside the walls,",1,,
670,0,,
"It's only youth that got the better of your discretion, just this once-but the next time be more careful.",1,,
"that the word ergon was pronounced in its older form, (w)er,qon (it",1,,
May the gods who hold the halls of Olympus give you,1,,
An Essay on theOriginal Genius and Writings of Homer.,0,,
",,~,",0,,
"He dispelled the mist at once, drove off the cloud and the sun came blazing forth and the whole war swung into view, clear, that instant- and Ajax called the lord of the war cry, Menelaus: ""Look hard for Antilochus now, my royal friend.",1,,
"But now I have a terrible fear that she has won you over, Thetis, the Old Man of the Sea's daughter, Thetis with her glistening feet.",1,,
