line,label
syndicates and local small fry did not harm those under his,1
"other animals, humans are born prematurely, when many of their",1
"to pray to St Agathius, but if from toothaches, then St Apollonia was",1
"the capitalists promise, is right around the corner. True, mistakes",1
"wars, we are just trying to get pleasant feelings.",1
human beings with the capacity to achieve full liberation from,1
in,1
"energy and to produce goods, largely liberating humankind from its",1
subjects all accepted their positions in the hierarchy and acted,1
"forces. They argue that there was something about the geography,",1
"millennium or two! By 10,000 BC, humans already inhabited the",1
"twentieth century AD, the Middle East passed from the hands of one",1
"atmosphere, and certainly none left a foot or tentacle print on the",1
mother because they were looking for an emotional bond and not,1
"But these expeditions remained chancy affairs, so credit markets",1
"the character of Calgacus, the Caledonian chieftain, to serve as a",1
literally unable to turn around (not to mention walk or forage). The,1
economics manifesto of all time. In the eighth chapter of its first,1
barter system that collected products from specialist growers and,1
"2 Andrew M. Watson, ‘Back to Gold – and Silver’, Economic History Review 20:1 (1967), 11–",0
"colonise the countries he visited. Moreover, the expeditions of",1
"warriors), leaving the natives to live as servants and slaves. The",1
"mouths for cursing, but all that this enables us to do is perhaps",1
"beauty, integrity, diligence. The Aryan race therefore had the",1
family trace their lineage back to a founding matriarch or patriarch.,1
"landed on the sunny beaches of today’s Vera Cruz, it was the first",1
slow-moving that he could just scoop them up whenever he was,1
on the first plane to Bangalore or Mumbai long before the Chinese,1
on the eve of the modern era.,1
realised. Yet the world of 2014 is already a world in which culture,1
nevertheless remained quite cautious. Many expeditions returned to,1
bumps on history’s highway.,1
"fallen out last week with Mary, who would thus be a likely and",1
"department, possessing the same professional skills, have both",1
"In the wake of the Cognitive Revolution, gossip helped Homo",1
common with the scientific study of Homo sapiens.,1
one. The state and the market disagree about their mutual rights,1
human well-being inevitably improves as history rolls along. There,1
"first, the idea of using gunpowder to propel projectiles was so",1
by nursing their children around the clock and until a late age,1
merchants began to fight against local potentates who charged,1
"then the entire modern economy is a fraud. The fact is, it’s not a",1
education system and foster a flourishing high-tech industry.,1
"1986), 27.",0
questions about the origins and uniqueness of Homo sapiens. By,1
"Conflict Worldwide (New York: Dutton, 2011); Gat, War in Human Civilization.",0
"colder climates, they learned to make snowshoes and effective",1
protection. He did little else.,1
What can we say about the spiritual and mental life of the ancient,1
on monotheistic foundations.,1
"strictly commercial. However, in order to secure their commercial",1
along with the company’s private army. Napoleon made fun of the,1
"far as the human condition is concerned, with the reduction of",0
But why stop even at Neanderthals? Why not go back to God’s,1
masters of creation.,1
stability of this system?,1
"the Hindus (even more confusingly, modern Arabs use a set of digits",1
are unable to achieve even after years of practising yoga or t’ai chi.fffi,1
"located about 7,000 kilometres west of Spain. In fact, more than",1
"in the future, and this resource is constantly threatened by thieves",1
trusted currencies such as the British pound and the American,1
correlate the results with socio-economic factors such as wealth and,1
unification was linear or without interruptions. Looking at the,1
They weren’t comparing themselves to their ancestors under the,1
"computer virus. As it spreads through the Internet, the virus",1
The bear hug between capital and politics has had far-reaching,1
have turned some people into slaves and others into masters.,1
"she lives in an alienating big city, loses all her money in a stock-",1
man-made detectors.13,1
reptiles and birds. The Americas were a great laboratory of,1
"Today, California builds its fortunes on silicon. But whereas in 1849 the gold",1
weapons. Logistics and strategy continued to have far greater impact,1
"bodies. So when a diprotodon, the largest marsupial ever to walk",1
"and New Caledonia. They killed off, directly or indirectly, hundreds",1
"archetypical brutish and stupid ‘cave people’, but recent evidence",1
"being discovered all over the Middle East, opening a door into an",1
"Criminology 41:4 (2001), 618–638; Manuel Eisner, ‘Long-Term Historical Trends in Violent",0
was imported from the Middle East at prohibitive prices and used,1
"could not be refused. ‘Become individuals,’ they said. ‘Marry",1
reproduction. It is not enough for individual men and women to,1
today’s typical people. The land between the Mediterranean and the,1
"wars – in exchange for prayers, colourful flowers, fragrant incense",1
of global public opinion and the international judicial system. States,1
